Date,Audience by watch behaviour,Views
2023-10-27,Casual viewers,0
2023-10-28,Casual viewers,0
2023-10-29,Casual viewers,0
2023-10-30,Casual viewers,0
2023-10-31,Casual viewers,0
2023-11-01,Casual viewers,0
2023-11-02,Casual viewers,0
2023-11-03,Casual viewers,0
2023-11-04,Casual viewers,0
2023-11-05,Casual viewers,0
2023-11-06,Casual viewers,0
2023-11-07,Casual viewers,0
2023-11-08,Casual viewers,0
2023-11-09,Casual viewers,0
2023-11-10,Casual viewers,0
2023-11-11,Casual viewers,0
2023-11-12,Casual viewers,0
2023-11-13,Casual viewers,0
2023-11-14,Casual viewers,0
2023-11-15,Casual viewers,0
2023-11-16,Casual viewers,0
2023-11-17,Casual viewers,0
2023-11-18,Casual viewers,0
2023-11-19,Casual viewers,0
2023-11-20,Casual viewers,0
2023-11-21,Casual viewers,0
2023-11-22,Casual viewers,0
2023-11-23,Casual viewers,0
2023-11-24,Casual viewers,0
2023-11-25,Casual viewers,0
2023-11-26,Casual viewers,0
2023-11-27,Casual viewers,0
2023-11-28,Casual viewers,0
2023-11-29,Casual viewers,0
2023-11-30,Casual viewers,0
2023-12-01,Casual viewers,0
2023-12-02,Casual viewers,0
2023-12-03,Casual viewers,0
2023-12-04,Casual viewers,0
2023-12-05,Casual viewers,0
2023-12-06,Casual viewers,0
2023-12-07,Casual viewers,0
2023-12-08,Casual viewers,0
2023-12-09,Casual viewers,0
2023-12-10,Casual viewers,0
2023-12-11,Casual viewers,0
2023-12-12,Casual viewers,0
2023-12-13,Casual viewers,0
2023-12-14,Casual viewers,0
2023-12-15,Casual viewers,0
2023-12-16,Casual viewers,0
2023-12-17,Casual viewers,0
2023-12-18,Casual viewers,0
2023-12-19,Casual viewers,0
2023-12-20,Casual viewers,0
2023-12-21,Casual viewers,0
2023-12-22,Casual viewers,0
2023-12-23,Casual viewers,0
2023-12-24,Casual viewers,0
2023-12-25,Casual viewers,0
2023-12-26,Casual viewers,0
2023-12-27,Casual viewers,0
2023-12-28,Casual viewers,0
2023-12-29,Casual viewers,0
2023-12-30,Casual viewers,0
2023-12-31,Casual viewers,0
2024-01-01,Casual viewers,0
2024-01-02,Casual viewers,0
2024-01-03,Casual viewers,0
2024-01-04,Casual viewers,0
2024-01-05,Casual viewers,0
2024-01-06,Casual viewers,0
2024-01-07,Casual viewers,0
2024-01-08,Casual viewers,0
2024-01-09,Casual viewers,0
2024-01-10,Casual viewers,0
2024-01-11,Casual viewers,0
2024-01-12,Casual viewers,0
2024-01-13,Casual viewers,0
2024-01-14,Casual viewers,0
2024-01-15,Casual viewers,0
2024-01-16,Casual viewers,0
2024-01-17,Casual viewers,0
2024-01-18,Casual viewers,0
2024-01-19,Casual viewers,0
2024-01-20,Casual viewers,0
2024-01-21,Casual viewers,0
2024-01-22,Casual viewers,0
2024-01-23,Casual viewers,0
2024-01-24,Casual viewers,0
2024-01-25,Casual viewers,0
2024-01-26,Casual viewers,0
2024-01-27,Casual viewers,0
2024-01-28,Casual viewers,0
2024-01-29,Casual viewers,0
2024-01-30,Casual viewers,0
2024-01-31,Casual viewers,0
2024-02-01,Casual viewers,0
2024-02-02,Casual viewers,0
2024-02-03,Casual viewers,0
2024-02-04,Casual viewers,0
2024-02-05,Casual viewers,0
2024-02-06,Casual viewers,0
2024-02-07,Casual viewers,0
2024-02-08,Casual viewers,0
2024-02-09,Casual viewers,0
2024-02-10,Casual viewers,0
2024-02-11,Casual viewers,0
2024-02-12,Casual viewers,0
2024-02-13,Casual viewers,0
2024-02-14,Casual viewers,0
2024-02-15,Casual viewers,0
2024-02-16,Casual viewers,0
2024-02-17,Casual viewers,0
2024-02-18,Casual viewers,0
2024-02-19,Casual viewers,0
2024-02-20,Casual viewers,0
2024-02-21,Casual viewers,0
2024-02-22,Casual viewers,0
2024-02-23,Casual viewers,0
2024-02-24,Casual viewers,0
2024-02-25,Casual viewers,0
2024-02-26,Casual viewers,0
2024-02-27,Casual viewers,0
2024-02-28,Casual viewers,0
2024-02-29,Casual viewers,0
2024-03-01,Casual viewers,0
2024-03-02,Casual viewers,0
2024-03-03,Casual viewers,0
2024-03-04,Casual viewers,0
2024-03-05,Casual viewers,0
2024-03-06,Casual viewers,0
2024-03-07,Casual viewers,0
2024-03-08,Casual viewers,0
2024-03-09,Casual viewers,0
2024-03-10,Casual viewers,0
2024-03-11,Casual viewers,0
2024-03-12,Casual viewers,0
2024-03-13,Casual viewers,0
2024-03-14,Casual viewers,0
